id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15526,"Classy apartment ""Palazzo""",60754,Andrea,,Solto Collina,45.7832,10.0266,Entire home/apt,142,4,42,2022-08-13,0.26,5,16,0,CIR: 016200 – CNI -00005
15542,"Suite with lake view ""Panorama""",60754,Andrea,,Solto Collina,45.78284,10.02457,Entire home/apt,103,2,49,2024-06-24,0.33,5,7,2,CIR: 016200 – CNI -00005
116423,Casetta a 12km da lago d'iseo,588254,Angela,,Bossico,45.8284,10.04476,Entire home/apt,40,2,11,2023-12-10,0.15,3,303,1,CIR 016033-CNI-00002T00146
179345,Bossico Vicino a Montisola  e lago D'iseo,588254,Angela,,Bossico,45.82722,10.04602,Entire home/apt,62,1,21,2024-01-05,0.28,3,304,4,CIR 016033-CNI-00002T00146
215933,Donizetti Royal suite private toilet,816380,Marcella,,Bergamo,45.698385,9.675597,Private room,117,1,72,2024-04-02,0.53,15,310,13,cir: 016024REC00185
215946,Double room shared bathroom in Donizetti guesthous,816380,Marcella,,Bergamo,45.69769,9.67485,Private room,82,1,207,2024-06-13,1.40,15,303,23,cir: 016024REC00185
225436,The house in the woods near Lovere,1174487,Marco,,Solto Collina,45.78679,10.04244,Entire home/apt,98,4,211,2024-06-07,1.41,2,293,21,CIR016200CNI00003
288012,Charming  Modern Flat in Bergamo,134937,Elena,,Bergamo,45.70934,9.67635,Entire home/apt,210,2,13,2017-05-16,0.09,10,180,0,
407559,Torre Antica,2030052,Andrea,,Lovere,45.81934,10.07538,Entire home/apt,69,1,164,2024-06-09,1.34,1,130,18,BG63985
453966,"Onore, a nice mountain place",2255479,Giorgia,,Onore,45.88826,10.01512,Entire home/apt,120,2,11,2024-02-16,0.24,1,346,5,
458623,THE HOUSE OVERLOOKS THE ISEO LAKE,1174487,Marco,,Solto Collina,45.78521,10.04491,Entire home/apt,165,3,72,2024-06-14,0.50,2,219,8,CIR016200CNI00019
528413,B&B Early leaving Bergamo airport,2596314,Antonio,,Bergamo,45.70922,9.67879,Private room,50,1,428,2024-06-29,2.94,2,350,85,CIR : 016024-BEB-00061
535791,B&B Early leaving bg - single room,2596314,Antonio,,Bergamo,45.71019,9.67759,Private room,44,1,147,2024-06-25,1.12,2,352,35,
541284,Deluxe Crème,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,89,2,83,2023-10-25,0.61,2,228,6,CIR: 016024-CNI-00124
575725,"Close the center, for large groups!",2831947,Marzio,,Bergamo,45.68688,9.66569,Entire home/apt,85,3,199,2024-06-09,1.51,6,295,29,CIR:  016024-CIM-00069
581839,Deluxe Caramel,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,89,2,88,2024-05-31,0.61,2,218,6,CIR: 016024-CNI-00124
659564,Openspace apartment in Bergamo,3327537,Diego,,Bergamo,45.68331,9.66418,Entire home/apt,62,5,75,2024-06-27,0.54,1,320,19,016024-CNI-00009
898277,La Cà Granda,4791696,Mattia,,Gandellino,45.99953,9.94099,Entire home/apt,131,1,12,2024-04-01,0.39,1,86,4,BG002731
920651,Guest house near Milan-Orio alSerio Airport,4948464,Assunta,,Seriate,45.6834,9.74404,Private room,63,1,18,2023-10-05,0.17,1,330,1,
938572,"Iseo lake, the Romantic Choice",5069656,Cristina,,Fonteno,45.7582,10.0193,Entire home/apt,120,5,6,2023-07-25,0.05,1,312,1,CIR016102-CNI-00268
953122,al Duca B&B - Bergamo Downtown,5174049,Roberto,,Bergamo,45.69593,9.66171,Entire home/apt,54,2,325,2024-06-22,2.38,1,26,59,016024-BEB-00081
961952,BG Apartment Agritourism La Fontana Girasole,5205547,Agriturismo La Fontana,,Zogno,45.80972,9.71748,Entire home/apt,62,1,158,2024-06-17,1.22,4,309,32,
1092117,SUPER SWEET STUDIO - BEST LOCATION,2818877,Giovanni,,Bergamo,45.6946,9.66721,Entire home/apt,120,3,334,2024-06-17,2.48,1,290,39,
1152885,"Bedroom, private bathroom Bolivar",4757901,Fabio&Simona,,Bergamo,45.70763,9.67775,Private room,61,2,321,2024-06-19,2.43,2,283,31,016024-BEB-00172
1182796,"House with lake view ""Terrazza""",60754,Andrea,,Solto Collina,45.78274,10.02532,Entire home/apt,189,3,30,2024-04-01,0.23,5,15,5,CIR: 016200 – CNI -00005
1298559,Cute&Green Studio Downtown Bergamo,134937,Elena,,Bergamo,45.68926239013672,9.670974731445312,Entire home/apt,90,1,23,2024-05-10,0.17,10,348,9,
1332139,"PORTA NUOVA, BERGAMO",3536085,Glenda,,Bergamo,45.69211,9.67014,Entire home/apt,216,1,45,2024-04-20,0.34,4,182,1,
1354765,ReGo Apartments - 2 bedrooms City View 6 guests,7321466,Guido,,Bergamo,45.70379,9.67729,Entire home/apt,199,1,184,2024-06-18,1.61,5,119,4,
1376791,Panoramic apartment with private Swimming Pool,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,134,4,45,2024-04-14,0.34,6,288,10,016094-CNI-00001
1379390,Trilocale Acquerelli,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,44,5,52,2023-10-31,0.40,6,186,3,016094-BEB-00002
1404275,"Under the Upper Town, area BG East",2831947,Marzio,,Bergamo,45.7096,9.67403,Entire home/apt,61,3,57,2024-06-24,0.44,6,18,3,CIR:  016024-CNI-00023
1431086,Romantic apartment,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,37,4,45,2024-06-14,0.46,6,305,16,016094-BEB-00002
1505938,The mountains' silence,8044000,Mirco,,Colere,45.97165,10.08758,Entire home/apt,82,2,65,2024-03-10,0.51,1,312,6,
1580605,Bergamo Sottosopra Apartment,8407181,Ambra,,Bergamo,45.69194,9.66595,Entire home/apt,300,1,48,2024-05-20,0.66,4,326,11,
1585722,JAZZY HOUSE  Charme e Relax,4116297,Giorgia,,Bergamo,45.69395,9.66502,Entire home/apt,103,1,59,2024-06-29,2.80,1,318,38,
1599545,Bergamo Sottosopra - private bathroom -,8407181,Ambra,,Bergamo,45.69194,9.66595,Private room,95,1,10,2023-09-17,0.09,4,30,3,
1599751,Bergamo Sottosopra - shared bathroom -,8407181,Ambra,,Bergamo,45.69194,9.66595,Private room,87,1,76,2024-05-04,0.60,4,132,6,
1645538,Bramantesco,8732771,Monica,,Bergamo,45.70275,9.67253,Entire home/apt,98,3,69,2024-06-13,0.66,2,261,11,016024-CIM-00382
1645625,La Terrazza del Centro,8732771,Monica,,Bergamo,45.6927,9.66273,Entire home/apt,98,3,54,2024-06-23,0.57,2,298,15,016024-CIM-00379
1713325,Cá del Borgo - Accademia DeLuxe,9036392,Simona,,Bergamo,45.70173,9.67301,Entire home/apt,82,2,181,2024-06-17,1.45,3,269,40,
1744017,La Rosa Scarlatta - Elegant house near Upper Town,9180947,Rita,,Bergamo,45.7021,9.672,Entire home/apt,105,2,129,2024-06-14,1.00,6,205,21,Reg.catastale 1202/13
1838161,Luxurious attic-swimming pool - amazing view,9608817,Carla Paola,,Riva di Solto,45.77644,10.04351,Entire home/apt,141,2,137,2024-06-16,1.34,2,301,20,
1838274,Lussuoso. Vista incantevole.,9608817,Carla Paola,,Riva di Solto,45.77644,10.04249,Entire home/apt,176,1,402,2024-06-13,3.25,2,244,49,
1870708,BG Apartment Agritourism La Fontana Tulipano,5205547,Agriturismo La Fontana,,Zogno,45.80835,9.71657,Entire home/apt,62,1,61,2024-04-03,0.49,4,275,22,
1871033,BG Apartment Agritourism La Fontana Margherita,5205547,Agriturismo La Fontana,,Zogno,45.80841,9.71721,Entire home/apt,82,1,41,2024-06-13,0.39,4,317,16,
1871167,BG Apartment Agritourism La Fontana Papavero,5205547,Agriturismo La Fontana,,Zogno,45.80957,9.71699,Entire home/apt,79,1,65,2024-05-16,0.52,4,337,9,
1874937,Under historical Upper Town and close the center !,2831947,Marzio,,Bergamo,45.70026,9.65578,Entire home/apt,62,3,73,2024-06-14,0.58,6,294,22,CIR:  016024-CNI-00443
1986063,PORTA NUOVA GH,3536085,Glenda,,Bergamo,45.69434,9.67231,Entire home/apt,300,1,25,2021-11-03,0.20,4,182,0,
1992334,"Bergamo,charming, city center, easy train&air",10271712,Marica,,Bergamo,45.69149,9.66627,Entire home/apt,82,3,264,2024-06-23,2.10,3,310,28,016024-CNI-00030
2009272,"B&B ""i baloss"" natura e  confort",10340654,Chiara,,Berbenno,45.81433,9.57237,Entire home/apt,65,1,9,2024-04-25,0.11,1,302,2,
2048280,La Torre casa vacanze,10499799,Pilar E Michele,,Bergamo,45.7046,9.66344,Entire home/apt,100,2,99,2024-03-03,1.01,1,51,12,
2176870,"Un paradiso in montagna, sci, piscina e tennis",3014215,Stefano,,Onore,45.88825,10.01617,Entire home/apt,114,7,3,2021-08-21,0.03,1,8,0,
2195721,BERGAMO MY HOME,11199432,Eleonora,,Bergamo,45.69325,9.67838,Entire home/apt,,1,5,2024-03-13,0.04,6,0,2,
2212771,Nel centro di Bergamo per 7 persone,11199432,Eleonora,,Bergamo,45.69426,9.67718,Entire home/apt,195,1,24,2024-06-15,0.20,6,193,11,
2231047,BERGAMO MY HOME,11199432,Eleonora,,Bergamo,45.6949,9.6767,Private room,60,1,76,2020-08-20,0.60,6,180,0,
2231285,ENTIRE APARTMENT FOR 1 GUEST IN THE CITY CENTER,11199432,Eleonora,,Bergamo,45.69369,9.67862,Private room,50,1,7,2018-01-31,0.06,6,180,0,
2360536,"l'Altopiano dei Fiori, Esmate Lago d'Iseo",11690654,Chiara,,Solto Collina,45.79091,10.02856,Entire home/apt,42,10,117,2023-10-01,1.36,1,110,8,
2429475,Appartamento Piazza Bergamo superior,12411922,Paolo,,Bergamo,45.69416,9.66551,Entire home/apt,85,7,2,2020-01-07,0.03,3,365,0,
2456277,Appartamento Piazza Bergamo deluxe,12411922,Paolo,,Bergamo,45.69484,9.6656,Entire home/apt,90,7,16,2016-09-01,0.13,3,365,0,
2460729,"New flat, near the center / Train Station (5 min.)",2831947,Marzio,,Bergamo,45.68784,9.66577,Entire home/apt,55,3,185,2024-06-11,1.48,6,290,28,CIR:  016024-CNI-00035
2666055,b&b entro le mura double room,13643980,Enrica,,Bergamo,45.7046,9.66407,Private room,190,1,5,2024-05-20,0.06,3,109,1,
2688937,"Cozy studio, ideal position in BG",13764551,Francesca,,Bergamo,45.69948,9.66593,Entire home/apt,83,3,118,2024-04-21,0.95,2,308,14,016024-CNI-00031
2698000,Amazing penthouse apartment,13807972,Mara,,Bergamo,45.69229,9.66639,Entire home/apt,,3,28,2018-01-11,0.24,1,358,0,
2819718,"""Casa Monika""",14425454,Monica,,Parzanica,45.732505798339844,10.047329902648926,Entire home/apt,130,4,92,2024-05-16,0.76,1,43,19,016159-CNI-00016
2849096,Artistic setting historical centre,14571413,A&A Massara,,Bergamo,45.70282,9.67358,Entire home/apt,79,1,694,2024-06-25,5.76,1,283,106,
2850138,Furnished apartments various sizes,10596952,Piero,,Stezzano,45.65034,9.65438,Entire home/apt,100,30,0,,,1,365,0,
2851222,B&b Santa Lucia- Centro Bergamo,14579902,Massimo,,Bergamo,45.69624,9.66339,Private room,90,1,7,2022-05-05,0.06,2,90,0,016024-BEB-00089
2881052,Elegante appartamento in Bergamo,14724108,Veronica,,Bergamo,45.7025,9.67442,Entire home/apt,85,1,40,2024-06-05,0.33,1,78,3,
2901897,"Appartamento Fanny arredato, balcone vista lago",14257562,Walter,,Predore,45.67959,10.02015,Entire home/apt,117,2,31,2024-06-26,0.26,2,122,6,016174-CNI-00004
2902243,APPARTAMENTO 6 POSTI LETTO RUSTICO,13265674,Cristina,,Piazzatorre,45.99174,9.69026,Entire home/apt,60,7,0,,,1,355,0,
2925558,Recente trilocale in zona servita a Bergamo,14937446,Francesca,,Gorle,45.69657,9.7142,Private room,60,2,27,2024-04-21,0.23,1,363,3,
3024769,Serina casa vacanze con giardino,2302998,Lorenzo,,Serina,45.8702,9.73108,Entire home/apt,40,7,3,2021-07-25,0.04,3,322,0,
3119868,House in Italian Orobian Alps (Sky resort),15850001,Luciano,,Piazzatorre,45.99054,9.69016,Entire home/apt,72,5,4,2023-09-11,0.05,1,340,1,123769
3126650,APPARTAMENT SUITE,15881053,Maria Rosa,,Trescore Balneario,45.69385,9.84287,Entire home/apt,50,1,1,2016-06-25,0.01,3,63,0,
3146176,Villa chalet Michele,13842254,Michele,,Onore,45.89846,10.01306,Entire home/apt,675,1,157,2024-06-24,1.30,1,321,18,
3156784,SUITE KING TERME,15881053,Maria Rosa,,Trescore Balneario,45.69428,9.84171,Private room,50,1,0,,,3,0,0,
3163296,Appartamento in casa privata,8061188,Cristina,,Sant'Omobono Terme,45.81642,9.51571,Entire home/apt,,1,11,2023-07-22,0.10,1,328,1,
3167053,SUITE SOLE STUDIOS,15881053,Maria Rosa,,Trescore Balneario,45.69632,9.83977,Private room,35,2,8,2021-11-21,0.07,3,0,0,
3199545,Villa Marilena Casa con accesso diretto al lago...,16214296,Maurizio,,Ranzanico,45.78892,9.94618,Entire home/apt,154,2,125,2024-05-20,1.05,1,301,14,CIR 016179-CNI-00007
3265626,monolocale executive,16500367,Paola,,Lovere,45.81697,10.07409,Entire home/apt,,1,68,2023-03-26,0.74,5,0,0,
3271764,Appartamento Tilde in casa d'epoca bordo lago,14257562,Walter,,Predore,45.67945,10.02026,Entire home/apt,124,2,61,2024-04-21,0.51,2,321,2,016174-CNI-00004
3297025,Ciccio Bed & BReakfast - Room 1,16655331,Eleonora,,Bergamo,45.69315,9.66308,Private room,85,1,47,2023-10-25,0.39,4,318,4,016024-BEB-00004
3306560,Ciccio Bed & Breakfast - Room 2,16655331,Eleonora,,Bergamo,45.694313049316406,9.663928985595703,Private room,95,1,22,2019-03-24,0.20,4,292,0,016024-BEB-00004
3309323,Ciccio Bed & Breakfast - Room 3,16655331,Eleonora,,Bergamo,45.69514,9.66286,Private room,85,1,46,2023-12-10,0.40,4,311,4,016024-BEB-00004
3309736,Ciccio Bed & Breakfast - Room 4,16655331,Eleonora,,Bergamo,45.69324,9.66425,Private room,95,1,9,2023-04-28,0.08,4,289,0,016024-BEB-00004
3350754,Camera Balcone con letto matrimoniale Superior,16907537,Andrea,,Val Brembilla,45.83312,9.60298,Private room,,1,2,2023-04-23,0.08,2,0,0,
3350802,B&B Castello Regina,16907537,Andrea,,Val Brembilla,45.83306,9.60233,Entire home/apt,86,2,36,2023-06-29,0.30,2,68,0,4851
3362995,Villa in the Countryside with swimming pool,14288726,Riccardo,,Entratico,45.70977,9.87953,Entire home/apt,295,4,33,2024-05-12,0.30,1,313,12,
3452484,La Cortevecchia - b&b Bergamo,17399684,Christian,,Bergamo,45.69516,9.66343,Entire home/apt,112,2,71,2024-04-22,0.63,1,230,6,016024-BEB-00111
3459621,OpenSpace Bergamo City,17436726,Tania,,Bergamo,45.6885,9.6599,Entire home/apt,110,3,101,2024-06-09,0.84,1,108,12,
3459715,La Volpera,17419264,Cristiana,,Mapello,45.70979,9.5178,Entire home/apt,172,1,17,2024-05-12,0.14,2,117,2,
3472941,Appartamento  vista lago d'Iseo  PICCOLO PARADISO,17494918,Fiorenzo,,Predore,45.67933,9.99608,Entire home/apt,110,1,103,2023-09-04,0.85,4,0,3,
3514596,Suggestiva e centrale casa di corte,17009127,Mario,,Bergamo,45.67281,9.66128,Entire home/apt,40,1,37,2016-07-30,0.34,1,0,0,
3648999,VILLA BEA INDIPENDENTE SUL LAGO D'ISEO,18445241,Roberto,,Solto Collina,45.79654,10.0479,Entire home/apt,140,4,44,2024-06-06,0.41,1,325,6,
